Run,Dataset,Model,Baseline Type,Base Tmax,Temporal Prefix Mode,Temporal Prefix Steps,Accuracy,Soft Accuracy,Hard Accuracy,Effective Timestep,Hard Effective Timestep,Executed Timestep,Layer1 Hard Timestep,Layer2 Hard Timestep,Raw Spike Rate,Gated Spike Rate,Prefix Spike Rate,Energy Proxy,Prefix Energy Proxy,Loop Energy Proxy,Hard Budget Proxy,Hard Prefix Steps,Hard Prefix Masks
fixed_rebin_T8,nmnist,fixed_lif,fixed_rebin,8,none,0,97.16,97.16,97.16,8.0,8.0,8.0,8.0,8.0,0.15352004895210267,0.15352004895210267,0.15352004895210267,1.2281603916168213,1.2281603916168213,1.2281603916168213,0.0,"{""global"":8.0}","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
fixed_rebin_T6,nmnist,fixed_lif,fixed_rebin,6,none,0,97.37,97.37,97.37,6.0,6.0,6.0,6.0,6.0,0.16376655201911927,0.16376655201911927,0.16376655201911927,0.9825993121147156,0.9825993121147156,0.9825993121147156,0.0,"{""global"":6.0}","[1.0,1.0,1.0,1.0,1.0,1.0]"
fixed_rebin_T4,nmnist,fixed_lif,fixed_rebin,4,none,0,97.23,97.23,97.23,4.0,4.0,4.0,4.0,4.0,0.1643118187904358,0.1643118187904358,0.1643118187904358,0.6572472751617432,0.6572472751617432,0.6572472751617432,0.0,"{""global"":4.0}","[1.0,1.0,1.0,1.0]"
fixed_rebin_T3,nmnist,fixed_lif,fixed_rebin,3,none,0,96.83,96.83,96.83,3.0,3.0,3.0,3.0,3.0,0.17596951422691345,0.17596951422691345,0.17596951422691345,0.5279085426807404,0.5279085426807404,0.5279085426807404,0.0,"{""global"":3.0}","[1.0,1.0,1.0]"
fixed_prefix_T6,nmnist,fixed_lif,fixed_prefix,8,truncate,6,97.55,97.55,97.55,6.0,6.0,6.0,6.0,6.0,0.12903945653438567,0.12903945653438567,0.12903945653438567,0.7742367392063141,0.7742367392063141,0.7742367392063141,0.0,"{""global"":6.0}","[1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0]"
fixed_prefix_T4,nmnist,fixed_lif,fixed_prefix,8,truncate,4,97.77,97.77,97.77,4.0,4.0,4.0,4.0,4.0,0.13200570521354676,0.13200570521354676,0.13200570521354676,0.5280228208541871,0.5280228208541871,0.5280228208541871,0.0,"{""global"":4.0}","[1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0]"
fixed_prefix_T3,nmnist,fixed_lif,fixed_prefix,8,truncate,3,97.91,97.91,97.91,3.0,3.0,3.0,3.0,3.0,0.11968707302808762,0.11968707302808762,0.11968707302808762,0.35906121908426286,0.35906121908426286,0.35906121908426286,0.0,"{""global"":3.0}","[1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]"
global_chronoskip_s2h_T6target,nmnist,global_chronoskip_s2h,chronoskip,8,none,0,96.54,97.08,96.54,1.4048148393630981,1.0,1.0,1.0,1.0,0.09771616785526276,0.02082843586206436,0.13635696346759796,0.02926009577975054,0.13635696346759796,0.13635696346759796,1.5623981952667236,"{""global"":1.0}","[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
layerwise_chronoskip_s2h_dep_T6target,nmnist,layerwise_chronoskip_s2h,chronoskip,8,none,0,96.71,97.32,96.71,2.5257370471954346,1.0,1.0,1.0,1.0,0.09281714673042298,0.036656167578697205,0.12968419320583344,0.0925838404617197,0.12968419320583344,0.12968419320583344,2.582530975341797,"{""average"":1.0,""executed"":1.0,""layer1"":1.0,""layer2"":1.0}","{""layer1"":[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""layer2"":[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]}"
global_chronoskip_s2h_T4target,nmnist,global_chronoskip_s2h,chronoskip,8,none,0,97.18,97.44,97.18,1.050678014755249,1.0,1.0,1.0,1.0,0.08417667008638383,0.015268015436828137,0.1360875672340393,0.016041768148419084,0.1360875672340393,0.1360875672340393,1.3501923084259033,"{""global"":1.0}","[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
layerwise_chronoskip_s2h_dep_T4target,nmnist,layerwise_chronoskip_s2h,chronoskip,8,none,0,97.22,97.48,97.22,1.8486757278442383,1.0,1.0,1.0,1.0,0.08178723437786102,0.025464502590894698,0.12703461410999298,0.04707560786141375,0.12703461410999298,0.12703461410999298,2.008972644805908,"{""average"":1.0,""executed"":1.0,""layer1"":1.0,""layer2"":1.0}","{""layer1"":[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],""layer2"":[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]}"
