Metric,Mean,Std
negative_temporal_gain,0.0,0.0
ever_regressed_rate,7.145725727081299,1.0096138215229196
worst_prefix_accuracy,73.24000295003255,3.9737778376173685
prefix_accuracy_auc,90.12416330973308,0.920332860304424
mean_prefix_regret,11.40333241780599,1.4243015943398842
specialist_accuracy_t1,98.15333333333334,0.06027713773341216
specialist_accuracy_t2,97.98666666666666,0.19553345834750496
specialist_accuracy_t4,97.64666666666668,0.0577350269189675
specialist_accuracy_t6,97.40333333333334,0.09073771725877776
specialist_accuracy_t8,96.9933344523112,0.14433316246442007
