epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,0.8558156162420909,0.8558156162420909,0.0,0.0,0.08876255289713542,0.25,0.0,0.0,0.0,0.0,73.17833333969116,0.0,93.02,93.02,0.0,0.11779963084459305,0.11779963084459305,0.11779963084459305,2.0,2.0,2.0,2.0,2.0,2.0,0.2355992616891861,0.2355992616891861,2.0,0.2355992616891861
2,0.20185655787785847,0.20185655787785847,0.0,0.0,0.12132884114583334,0.25,0.0,0.0,0.0,0.0,94.31166667302449,0.0,95.67,95.67,0.0,0.12305431985855103,0.12305431985855103,0.12305431985855103,2.0,2.0,2.0,2.0,2.0,2.0,0.24610863971710206,0.24610863971710206,2.0,0.24610863971710206
3,0.13956678419113158,0.13956678419113158,0.0,0.0,0.12356380208333333,0.25,0.0,0.0,0.0,0.0,96.06666666984557,0.0,96.62,96.62,0.0,0.1235170289993286,0.1235170289993286,0.1235170289993286,2.0,2.0,2.0,2.0,2.0,2.0,0.2470340579986572,0.2470340579986572,2.0,0.2470340579986572
4,0.11233348826567333,0.11233348826567333,0.0,0.0,0.12353717447916666,0.25,0.0,0.0,0.0,0.0,96.76666666984558,0.0,97.08,97.08,0.0,0.1239166100859642,0.1239166100859642,0.1239166100859642,2.0,2.0,2.0,2.0,2.0,2.0,0.2478332201719284,0.2478332201719284,2.0,0.2478332201719284
5,0.09724529991149902,0.09724529991149902,0.0,0.0,0.12372252604166667,0.25,0.0,0.0,0.0,0.0,97.22666666984559,0.0,96.82,96.82,0.0,0.12361159912347794,0.12361159912347794,0.12361159912347794,2.0,2.0,2.0,2.0,2.0,2.0,0.24722319824695588,0.24722319824695588,2.0,0.24722319824695588
6,0.08792349053223927,0.08792349053223927,0.0,0.0,0.12318131510416666,0.25,0.0,0.0,0.0,0.0,97.415,0.0,97.44,97.44,0.0,0.12310079877376556,0.12310079877376556,0.12310079877376556,2.0,2.0,2.0,2.0,2.0,2.0,0.24620159754753113,0.24620159754753113,2.0,0.24620159754753113
7,0.0797363006512324,0.0797363006512324,0.0,0.0,0.12339215494791667,0.25,0.0,0.0,0.0,0.0,97.64500000635783,0.0,97.53,97.53,0.0,0.12295599514245988,0.12295599514245988,0.12295599514245988,2.0,2.0,2.0,2.0,2.0,2.0,0.24591199028491975,0.24591199028491975,2.0,0.24591199028491975
8,0.07430593282779058,0.07430593282779058,0.0,0.0,0.12357985026041667,0.25,0.0,0.0,0.0,0.0,97.75500000635783,0.0,97.71,97.71,0.0,0.12208928067684173,0.12208928067684173,0.12208928067684173,2.0,2.0,2.0,2.0,2.0,2.0,0.24417856135368346,0.24417856135368346,2.0,0.24417856135368346
9,0.06939537582794825,0.06939537582794825,0.0,0.0,0.12307259114583333,0.25,0.0,0.0,0.0,0.0,97.9166666730245,0.0,97.69,97.69,0.0,0.1240255992770195,0.1240255992770195,0.1240255992770195,2.0,2.0,2.0,2.0,2.0,2.0,0.248051198554039,0.248051198554039,2.0,0.248051198554039
10,0.06627029539744059,0.06627029539744059,0.0,0.0,0.12357291666666667,0.25,0.0,0.0,0.0,0.0,98.04000000317892,0.0,98.04,98.04,0.0,0.12210982176065445,0.12210982176065445,0.12210982176065445,2.0,2.0,2.0,2.0,2.0,2.0,0.2442196435213089,0.2442196435213089,2.0,0.2442196435213089
