beneficial_correction_change_vs_final_ce,beneficial_transition_preservation_ratio,ever_recovered_preservation_ratio,final_accuracy_change_vs_final_ce,mean_prefix_accuracy_change_vs_final_ce,method,regression_reduction_vs_final_ce,seed
-2.110389471054077,0.597938157909798,0.785093183828209,-0.3787841796875,4.071968078613281,all_prefix_ce,-0.45248985290527344,0
-1.1904759407043457,0.7731959165600905,0.9159816552565619,0.7575836181640625,3.7405319213867188,symmetric_kl,1.4349193572998047,0
0.43290090560913086,1.0824743195220687,1.0610500599178696,-0.7575759887695312,0.1420440673828125,selective_regression_thr0.8,-1.1789054870605469,0
0.6493511199951172,1.1237114338606755,1.0581962035523915,0.0,-1.5625,selective_regression_thr0.6,0.2034130096435547,0
1.190476417541504,1.2268041742847648,1.1310518687467161,1.5151596069335938,-0.284088134765625,selective_regression_thr0.9,1.5877513885498047,0
-2.2186145782470703,0.5729166896144551,0.7555688253093055,-0.7575759887695312,4.214019775390625,all_prefix_ce,0.33231353759765625,1
-1.5692639350891113,0.6979166896144551,0.8597593354861617,0.37879180908203125,2.5094680786132812,symmetric_kl,-1.3232345581054688,1
0.21645021438598633,1.0416666666666667,1.0253339802171655,-0.7575759887695312,-0.1420440673828125,selective_regression_thr0.8,-1.333333969116211,1
0.10822534561157227,1.0208333792289102,1.0109891157285085,0.37879180908203125,0.37879180908203125,selective_regression_thr0.6,2.456456184387207,1
0.3787879943847656,1.072916689614455,1.0320031534587033,-0.3787841796875,0.09470367431640625,selective_regression_thr0.9,-0.8888912200927734,1
-3.192641019821167,0.4778760782454393,0.6498229048257709,-3.787872314453125,1.4204559326171875,all_prefix_ce,-1.8715782165527344,2
-2.2727274894714355,0.6283185668181724,0.799999962506976,0.0,3.125,symmetric_kl,-0.18004608154296875,2
-0.21645021438598633,0.9646017719818193,0.9885057011579783,0.0,-0.99432373046875,selective_regression_thr0.8,2.764974594116211,2
-0.10822534561157227,0.9823008469999793,1.0021288539001212,0.37879180908203125,-0.28409576416015625,selective_regression_thr0.6,2.688169479370117,2
-0.1623377799987793,0.9734513094908993,0.9810061590415333,-1.1363601684570312,-1.089019775390625,selective_regression_thr0.9,2.145536422729492,2
