individual_seed_values,mean,method,metric,sample_standard_deviation,valid_seed_count
"[0.11546610441049245, 0.09126516851714367, 0.07145276752475561]",0.09272801348413058,symmetric_kl,beneficial_transition_preservation_ratio,0.022043103059742285,3
"[0.7443290493019461, 0.7338332442838285, 0.7115558069988573]",0.7299060335282106,symmetric_kl,ever_recovered_preservation_ratio,0.0167358474838749,3
"[0.089996337890625, 0.1100006103515625, -0.0099945068359375]",0.06333414713541667,symmetric_kl,final_accuracy_change_vs_final_ce,0.06428733428219592,3
"[3.5, 4.8849945068359375, 5.786247253417969]",4.723747253417969,symmetric_kl,mean_prefix_accuracy_change_vs_final_ce,1.1516215235447063,3
"[15.299995422363281, 22.5, 26.479995727539062]",21.426663716634113,symmetric_kl,minimum_prefix_accuracy_change_vs_final_ce,5.66675743162039,3
"[1.488437831401825, 0.8153663873672485, 0.9361207485198975]",1.0799749890963237,symmetric_kl,regression_reduction_vs_final_ce,0.35885487887523937,3
"[5.872857540845871, 5.199999809265137, 5.782857149839401]",5.61857149998347,selective_regression_thr0.6,beneficial_transition_change_vs_symmetric_kl,0.3652762143891006,3
"[2.292902706946223, 1.5170386109848537, 1.4422621944086036]",1.750734504113227,selective_regression_thr0.6,beneficial_transition_preservation_ratio,0.47101767296075736,3
"[-0.048571422696113586, -0.03428572416305542, -0.04285714775323868]",-0.04190476487080256,selective_regression_thr0.6,destructive_transition_change_vs_symmetric_kl,0.007190310877175135,3
"[1.021044627008837, 1.0126391774166659, 1.010815408976871]",1.0148330711341247,selective_regression_thr0.6,ever_recovered_preservation_ratio,0.005456106910518028,3
"[-0.0800018310546875, 0.0500030517578125, 0.0200042724609375]",-0.0033315022786458335,selective_regression_thr0.6,final_accuracy_change_vs_final_ce,0.06807155188326028,3
"[-7.2037506103515625, -3.6112518310546875, -3.217498779296875]",-4.677500406901042,selective_regression_thr0.6,mean_prefix_accuracy_change_vs_final_ce,2.1966373014832232,3
"[-26.32000732421875, -14.199996948242188, -14.270004272460938]",-18.263336181640625,selective_regression_thr0.6,minimum_prefix_accuracy_change_vs_final_ce,6.977369682129463,3
"[1.7987020611763, 1.045948088169098, 1.1977437734603882]",1.347464640935262,selective_regression_thr0.6,regression_reduction_vs_final_ce,0.39808527929025894,3
