bootstrap_iterations,ci_lower_2.5,ci_upper_97.5,comparison,metric,point_estimate,resampling_unit,seed
2000,-0.17257054308965666,-0.08862976465694965,final_ce,micro_matched_regression_difference,-0.130373738049074,paired_sample_id,3
2000,-28.378705740624344,-24.150717478909314,final_ce,micro_matched_recovery_difference,-26.215443279313632,paired_sample_id,3
2000,-0.14120449132357946,-0.07290702789737005,final_ce,eligible_micro_regression_difference,-0.10681224780441491,paired_sample_id,3
2000,-0.0025350648851599545,-0.0019400212448090317,final_ce,macro_mean_drop_magnitude_difference,-0.002231598598882556,paired_sample_id,3
2000,-0.0021311994829212653,-0.001646520560845286,final_ce,micro_mean_drop_magnitude_difference,-0.0018837439660808577,paired_sample_id,3
2000,-0.12900349713892,-0.050816131696236,final_ce,micro_matched_regression_difference,-0.09020829916352305,paired_sample_id,4
2000,-16.063506575917835,-12.546549788183045,final_ce,micro_matched_recovery_difference,-14.361140443505807,paired_sample_id,4
2000,-0.10899252228794351,-0.049785455557322666,final_ce,eligible_micro_regression_difference,-0.07825768423856938,paired_sample_id,4
2000,-0.0017510849225800484,-0.0012600181478774175,final_ce,macro_mean_drop_magnitude_difference,-0.0015034766402095556,paired_sample_id,4
2000,-0.001431152647716055,-0.0010476402837193972,final_ce,micro_mean_drop_magnitude_difference,-0.0012313342239107091,paired_sample_id,4
2000,-0.10448112523617155,-0.03299965202528121,final_ce,micro_matched_regression_difference,-0.06950420334944066,paired_sample_id,5
2000,-16.21955694390423,-12.873492075727496,final_ce,micro_matched_recovery_difference,-14.501027631879424,paired_sample_id,5
2000,-0.08037441277635891,-0.025336340546028405,final_ce,eligible_micro_regression_difference,-0.052052724372428846,paired_sample_id,5
2000,-0.0014771205722354352,-0.0009776525112101808,final_ce,macro_mean_drop_magnitude_difference,-0.0012248455313965678,paired_sample_id,5
2000,-0.0011491667609181595,-0.0007916044780590133,final_ce,micro_mean_drop_magnitude_difference,-0.0009695132515578328,paired_sample_id,5
2000,-0.003329674853290969,0.0448657020760072,symmetric_kl,micro_matched_regression_difference,0.01991668188079866,paired_sample_id,3
2000,-13.617504835589942,-6.439888529823508,symmetric_kl,micro_matched_recovery_difference,-9.88446726572529,paired_sample_id,3
2000,-0.0016848604177703945,0.03212040769257342,symmetric_kl,eligible_micro_regression_difference,0.015129355993746534,paired_sample_id,3
2000,-0.00023695181080256588,3.965928608522515e-05,symmetric_kl,macro_mean_drop_magnitude_difference,-0.00010027724783867598,paired_sample_id,3
2000,-0.00026737068884837484,-1.5061323262460076e-05,symmetric_kl,micro_mean_drop_magnitude_difference,-0.00013941274643165932,paired_sample_id,3
2000,-0.032200480601944116,0.04036173858401449,symmetric_kl,micro_matched_regression_difference,0.0048486415722528405,paired_sample_id,4
2000,-11.934844868735084,-5.664801729710453,symmetric_kl,micro_matched_recovery_difference,-8.690176322418136,paired_sample_id,4
2000,-0.027842048803755893,0.02132683266896287,symmetric_kl,eligible_micro_regression_difference,-0.0032788497794973524,paired_sample_id,4
2000,-0.00047622487545595504,-0.00014598511334042998,symmetric_kl,macro_mean_drop_magnitude_difference,-0.0003101147885899991,paired_sample_id,4
2000,-0.00044170164624018064,-0.0001534958556503463,symmetric_kl,micro_mean_drop_magnitude_difference,-0.0002987692255267342,paired_sample_id,4
2000,0.012990007869069843,0.06638034275493833,symmetric_kl,micro_matched_regression_difference,0.03901170351105332,paired_sample_id,5
2000,-8.988876325295896,-3.078320608441094,symmetric_kl,micro_matched_recovery_difference,-5.945303210463734,paired_sample_id,5
2000,-0.006587965191073739,0.031263652237466674,symmetric_kl,eligible_micro_regression_difference,0.011523392486748099,paired_sample_id,5
2000,0.00011052814315917204,0.000421204757731175,symmetric_kl,macro_mean_drop_magnitude_difference,0.0002617814461700618,paired_sample_id,5
2000,7.225538477581996e-05,0.0003321536383643824,symmetric_kl,micro_mean_drop_magnitude_difference,0.00020104669935526557,paired_sample_id,5
