both_regress_count,both_remain_correct_count,common_correct_count,comparator_matched_regression_rate,comparator_only_regresses_count,comparison,from_t,matched_regression_difference,seed,selective_matched_regression_rate,selective_only_regresses_count,to_t
4,5451,5493,0.6553795740032768,32,final_ce,1,-0.47332969233569994,3,0.1820498816675769,6,2
1,7415,7455,0.482897384305835,35,final_ce,2,-0.41582830315224684,3,0.0670690811535882,4,3
2,8347,8358,0.10768126346015794,7,final_ce,3,-0.05982292414453219,3,0.04785833931562575,2,4
0,9238,9251,0.08647713760674522,8,final_ce,4,-0.03242892660252946,3,0.05404821100421576,5,5
3,9665,9683,0.123928534545079,9,final_ce,5,-0.030982133636269754,3,0.09294640090880925,6,6
1,9752,9772,0.1125665165779779,10,final_ce,6,-0.010233319688907075,3,0.10233319688907082,9,7
0,9799,9816,0.13243683781581092,13,final_ce,7,-0.09168704156479218,3,0.040749796251018745,4,8
5,5632,5680,0.704225352112676,35,final_ce,1,-0.47535211267605626,4,0.22887323943661972,8,2
4,7711,7749,0.4258614014711576,29,final_ce,2,-0.3097173828881146,4,0.11614401858304298,5,3
0,8699,8712,0.1147842056932966,10,final_ce,3,-0.08034894398530762,4,0.03443526170798898,3,4
0,9433,9437,0.01059658789869662,1,final_ce,4,0.021193175797393236,4,0.03178976369608986,3,5
2,9730,9747,0.04103826818508259,2,final_ce,5,0.11285523750897712,4,0.1538935056940597,13,6
6,9784,9803,0.12241150668162808,6,final_ce,6,0.010200958890135656,4,0.13261246557176373,7,7
2,9821,9842,0.17272912009754116,15,final_ce,7,-0.11176590123958546,4,0.0609632188579557,4,8
2,5248,5293,0.6234649537124504,31,final_ce,1,-0.3589646703192896,5,0.2645002833931608,12,2
3,7529,7566,0.3965107057890563,27,final_ce,2,-0.2643404705260375,5,0.13217023526301877,7,3
0,8674,8679,0.023044129508007834,2,final_ce,3,0.01152206475400392,5,0.034566194262011754,3,4
0,9487,9492,0.02107037505267594,2,final_ce,4,0.010535187526337964,5,0.0316055625790139,3,5
2,9735,9747,0.10259567046270647,8,final_ce,5,-0.06155740227762388,5,0.04103826818508259,2,6
1,9788,9799,0.061230737830390854,5,final_ce,6,0.0,5,0.061230737830390854,5,7
1,9840,9852,0.06090133982947625,5,final_ce,7,0.010150223304912706,5,0.07105156313438896,6,8
0,5571,5582,0.01791472590469366,1,symmetric_kl,1,0.1612325331422429,3,0.17914725904693657,10,2
2,7548,7559,0.07937557878026194,4,symmetric_kl,2,0.013229263130043661,3,0.0926048419103056,5,3
3,8478,8487,0.08247908566042182,4,symmetric_kl,3,-0.02356545304583481,3,0.058913632614587014,2,4
0,9298,9303,0.02149844136300118,2,symmetric_kl,4,0.010749220681500592,3,0.032247662044501774,3,5
1,9689,9704,0.07213520197856554,6,symmetric_kl,5,0.020610057708161572,3,0.09274525968672712,8,6
2,9775,9786,0.05109339873288371,3,symmetric_kl,6,0.03065603923973023,3,0.08174943797261394,6,7
0,9822,9830,0.0508646998982706,5,symmetric_kl,7,-0.02034587995930824,3,0.030518819938962362,3,8
1,6035,6061,0.19798713083649563,11,symmetric_kl,1,0.04949678270912389,4,0.24748391354561952,14,2
1,7968,7996,0.17508754377188596,13,symmetric_kl,2,0.012506253126563255,4,0.1875937968984492,14,3
1,8869,8878,0.06758278891642262,5,symmetric_kl,3,-0.022527596305474212,4,0.04505519261094841,3,4
0,9505,9516,0.0735603194619588,7,symmetric_kl,4,-0.03152585119798234,4,0.042034468263976464,4,5
1,9755,9767,0.05119279205487867,4,symmetric_kl,5,0.030715675232927203,4,0.08190846728780588,7,6
0,9792,9813,0.09171507184347294,9,symmetric_kl,6,0.030571690614490984,4,0.12228676245796392,12,7
0,9826,9842,0.09144482828693355,9,symmetric_kl,7,-0.020321072952651897,4,0.07112375533428165,7,8
1,5664,5684,0.12315270935960591,6,symmetric_kl,1,0.12315270935960591,5,0.24630541871921183,13,2
1,7838,7851,0.06368615462998344,4,symmetric_kl,2,0.050948923703986765,5,0.1146350783339702,8,3
1,8931,8938,0.03356455582904453,2,symmetric_kl,3,0.022376370552696354,5,0.055940926381740884,4,4
1,9577,9585,0.03129890453834116,2,symmetric_kl,4,0.03129890453834116,5,0.06259780907668232,5,5
0,9774,9779,0.020451988955925964,2,symmetric_kl,5,0.01022599447796298,5,0.030677983433888945,3,6
0,9814,9824,0.030537459283387622,3,symmetric_kl,6,0.04071661237785017,5,0.07125407166123779,7,7
1,9843,9859,0.07100111573181864,6,symmetric_kl,7,0.030429049599350846,5,0.10143016533116948,9,8
