model,fold,positive_count,negative_count,epochs,batch_size,learning_rate,weight_decay,training_seed,final_batch_loss
linear_gate,0,1141,166859,300,4096,0.01,0.0001,2026,6.252444563870085e-06
linear_gate,1,1132,166868,300,4096,0.01,0.0001,2027,1.1810133401013445e-05
linear_gate,2,1149,166851,300,4096,0.01,0.0001,2028,4.76002533105202e-05
linear_gate,3,1137,166863,300,4096,0.01,0.0001,2029,3.046103665838018e-05
linear_gate,4,1053,166947,300,4096,0.01,0.0001,2030,3.1396415579365566e-05
mlp16_gate,0,1141,166859,300,4096,0.01,0.0001,2026,1.694269485597033e-06
mlp16_gate,1,1132,166868,300,4096,0.01,0.0001,2027,7.210731382656377e-06
mlp16_gate,2,1149,166851,300,4096,0.01,0.0001,2028,3.287891740910709e-05
mlp16_gate,3,1137,166863,300,4096,0.01,0.0001,2029,2.3893979232525453e-05
mlp16_gate,4,1053,166947,300,4096,0.01,0.0001,2030,2.353483250772115e-05
