method,seed,from_t,to_t,transition_type,support,keep_count,keep_rate,switch_rate
oracle_block_destructive,3,1,2,W_TO_W,698,0,0.0,1.0
oracle_block_destructive,3,1,2,W_TO_C,1050,0,0.0,1.0
oracle_block_destructive,3,1,2,C_TO_W,101,101,1.0,0.0
oracle_block_destructive,3,1,2,C_TO_C,8151,0,0.0,1.0
oracle_block_destructive,3,2,3,W_TO_W,402,0,0.0,1.0
oracle_block_destructive,3,2,3,W_TO_C,296,0,0.0,1.0
oracle_block_destructive,3,2,3,C_TO_W,140,140,1.0,0.0
oracle_block_destructive,3,2,3,C_TO_C,9162,0,0.0,1.0
oracle_block_destructive,3,3,4,W_TO_W,188,0,0.0,1.0
oracle_block_destructive,3,3,4,W_TO_C,214,0,0.0,1.0
oracle_block_destructive,3,3,4,C_TO_W,74,74,1.0,0.0
oracle_block_destructive,3,3,4,C_TO_C,9524,0,0.0,1.0
oracle_block_destructive,3,4,5,W_TO_W,113,0,0.0,1.0
oracle_block_destructive,3,4,5,W_TO_C,75,0,0.0,1.0
oracle_block_destructive,3,4,5,C_TO_W,53,53,1.0,0.0
oracle_block_destructive,3,4,5,C_TO_C,9759,0,0.0,1.0
oracle_block_destructive,3,5,6,W_TO_W,89,0,0.0,1.0
oracle_block_destructive,3,5,6,W_TO_C,24,0,0.0,1.0
oracle_block_destructive,3,5,6,C_TO_W,55,55,1.0,0.0
oracle_block_destructive,3,5,6,C_TO_C,9832,0,0.0,1.0
oracle_block_destructive,3,6,7,W_TO_W,68,0,0.0,1.0
oracle_block_destructive,3,6,7,W_TO_C,21,0,0.0,1.0
oracle_block_destructive,3,6,7,C_TO_W,53,53,1.0,0.0
oracle_block_destructive,3,6,7,C_TO_C,9858,0,0.0,1.0
oracle_block_destructive,3,7,8,W_TO_W,58,0,0.0,1.0
oracle_block_destructive,3,7,8,W_TO_C,10,0,0.0,1.0
oracle_block_destructive,3,7,8,C_TO_W,53,53,1.0,0.0
oracle_block_destructive,3,7,8,C_TO_C,9879,0,0.0,1.0
oracle_block_destructive,4,1,2,W_TO_W,972,0,0.0,1.0
oracle_block_destructive,4,1,2,W_TO_C,1501,0,0.0,1.0
oracle_block_destructive,4,1,2,C_TO_W,76,76,1.0,0.0
oracle_block_destructive,4,1,2,C_TO_C,7451,0,0.0,1.0
oracle_block_destructive,4,2,3,W_TO_W,539,0,0.0,1.0
oracle_block_destructive,4,2,3,W_TO_C,433,0,0.0,1.0
oracle_block_destructive,4,2,3,C_TO_W,120,120,1.0,0.0
oracle_block_destructive,4,2,3,C_TO_C,8908,0,0.0,1.0
oracle_block_destructive,4,3,4,W_TO_W,266,0,0.0,1.0
oracle_block_destructive,4,3,4,W_TO_C,273,0,0.0,1.0
oracle_block_destructive,4,3,4,C_TO_W,75,75,1.0,0.0
oracle_block_destructive,4,3,4,C_TO_C,9386,0,0.0,1.0
oracle_block_destructive,4,4,5,W_TO_W,149,0,0.0,1.0
oracle_block_destructive,4,4,5,W_TO_C,117,0,0.0,1.0
oracle_block_destructive,4,4,5,C_TO_W,36,36,1.0,0.0
oracle_block_destructive,4,4,5,C_TO_C,9698,0,0.0,1.0
oracle_block_destructive,4,5,6,W_TO_W,109,0,0.0,1.0
oracle_block_destructive,4,5,6,W_TO_C,40,0,0.0,1.0
oracle_block_destructive,4,5,6,C_TO_W,32,32,1.0,0.0
oracle_block_destructive,4,5,6,C_TO_C,9819,0,0.0,1.0
oracle_block_destructive,4,6,7,W_TO_W,74,0,0.0,1.0
oracle_block_destructive,4,6,7,W_TO_C,35,0,0.0,1.0
oracle_block_destructive,4,6,7,C_TO_W,41,41,1.0,0.0
oracle_block_destructive,4,6,7,C_TO_C,9850,0,0.0,1.0
oracle_block_destructive,4,7,8,W_TO_W,63,0,0.0,1.0
oracle_block_destructive,4,7,8,W_TO_C,11,0,0.0,1.0
oracle_block_destructive,4,7,8,C_TO_W,59,59,1.0,0.0
oracle_block_destructive,4,7,8,C_TO_C,9867,0,0.0,1.0
oracle_block_destructive,5,1,2,W_TO_W,1137,0,0.0,1.0
oracle_block_destructive,5,1,2,W_TO_C,1715,0,0.0,1.0
oracle_block_destructive,5,1,2,C_TO_W,93,93,1.0,0.0
oracle_block_destructive,5,1,2,C_TO_C,7055,0,0.0,1.0
oracle_block_destructive,5,2,3,W_TO_W,664,0,0.0,1.0
oracle_block_destructive,5,2,3,W_TO_C,473,0,0.0,1.0
oracle_block_destructive,5,2,3,C_TO_W,121,121,1.0,0.0
oracle_block_destructive,5,2,3,C_TO_C,8742,0,0.0,1.0
oracle_block_destructive,5,3,4,W_TO_W,277,0,0.0,1.0
oracle_block_destructive,5,3,4,W_TO_C,387,0,0.0,1.0
oracle_block_destructive,5,3,4,C_TO_W,60,60,1.0,0.0
oracle_block_destructive,5,3,4,C_TO_C,9276,0,0.0,1.0
oracle_block_destructive,5,4,5,W_TO_W,156,0,0.0,1.0
oracle_block_destructive,5,4,5,W_TO_C,121,0,0.0,1.0
oracle_block_destructive,5,4,5,C_TO_W,35,35,1.0,0.0
oracle_block_destructive,5,4,5,C_TO_C,9688,0,0.0,1.0
oracle_block_destructive,5,5,6,W_TO_W,120,0,0.0,1.0
oracle_block_destructive,5,5,6,W_TO_C,36,0,0.0,1.0
oracle_block_destructive,5,5,6,C_TO_W,42,42,1.0,0.0
oracle_block_destructive,5,5,6,C_TO_C,9802,0,0.0,1.0
oracle_block_destructive,5,6,7,W_TO_W,84,0,0.0,1.0
oracle_block_destructive,5,6,7,W_TO_C,36,0,0.0,1.0
oracle_block_destructive,5,6,7,C_TO_W,44,44,1.0,0.0
oracle_block_destructive,5,6,7,C_TO_C,9836,0,0.0,1.0
oracle_block_destructive,5,7,8,W_TO_W,62,0,0.0,1.0
oracle_block_destructive,5,7,8,W_TO_C,22,0,0.0,1.0
oracle_block_destructive,5,7,8,C_TO_W,40,40,1.0,0.0
oracle_block_destructive,5,7,8,C_TO_C,9876,0,0.0,1.0
oracle_best_candidate,3,1,2,W_TO_W,698,131,0.18767908215522766,0.81232088804245
oracle_best_candidate,3,1,2,W_TO_C,1050,0,0.0,1.0
oracle_best_candidate,3,1,2,C_TO_W,101,101,1.0,0.0
oracle_best_candidate,3,1,2,C_TO_C,8151,2371,0.2908845543861389,0.7091154456138611
oracle_best_candidate,3,2,3,W_TO_W,402,107,0.26616916060447693,0.7338308691978455
oracle_best_candidate,3,2,3,W_TO_C,296,0,0.0,1.0
oracle_best_candidate,3,2,3,C_TO_W,140,140,1.0,0.0
oracle_best_candidate,3,2,3,C_TO_C,9162,4800,0.5239030718803406,0.4760969281196594
oracle_best_candidate,3,3,4,W_TO_W,188,39,0.20744681358337402,0.792553186416626
oracle_best_candidate,3,3,4,W_TO_C,214,0,0.0,1.0
oracle_best_candidate,3,3,4,C_TO_W,74,74,1.0,0.0
oracle_best_candidate,3,3,4,C_TO_C,9524,4625,0.4856152832508087,0.5143846869468689
oracle_best_candidate,3,4,5,W_TO_W,113,30,0.2654867172241211,0.7345132827758789
oracle_best_candidate,3,4,5,W_TO_C,75,0,0.0,1.0
oracle_best_candidate,3,4,5,C_TO_W,53,53,1.0,0.0
oracle_best_candidate,3,4,5,C_TO_C,9759,5634,0.577313244342804,0.42268675565719604
oracle_best_candidate,3,5,6,W_TO_W,89,31,0.3483146131038666,0.6516854166984558
oracle_best_candidate,3,5,6,W_TO_C,24,0,0.0,1.0
oracle_best_candidate,3,5,6,C_TO_W,55,55,1.0,0.0
oracle_best_candidate,3,5,6,C_TO_C,9832,7097,0.7218266725540161,0.2781732976436615
oracle_best_candidate,3,6,7,W_TO_W,68,32,0.47058823704719543,0.529411792755127
oracle_best_candidate,3,6,7,W_TO_C,21,0,0.0,1.0
oracle_best_candidate,3,6,7,C_TO_W,53,53,1.0,0.0
oracle_best_candidate,3,6,7,C_TO_C,9858,8117,0.8233921527862549,0.17660783231258392
oracle_best_candidate,3,7,8,W_TO_W,58,31,0.5344827771186829,0.4655172526836395
oracle_best_candidate,3,7,8,W_TO_C,10,0,0.0,1.0
oracle_best_candidate,3,7,8,C_TO_W,53,53,1.0,0.0
oracle_best_candidate,3,7,8,C_TO_C,9879,8403,0.8505921363830566,0.14940783381462097
oracle_best_candidate,4,1,2,W_TO_W,972,102,0.10493826866149902,0.895061731338501
oracle_best_candidate,4,1,2,W_TO_C,1501,0,0.0,1.0
oracle_best_candidate,4,1,2,C_TO_W,76,76,1.0,0.0
oracle_best_candidate,4,1,2,C_TO_C,7451,1737,0.2331230640411377,0.7668769359588623
oracle_best_candidate,4,2,3,W_TO_W,539,140,0.25974026322364807,0.7402597665786743
oracle_best_candidate,4,2,3,W_TO_C,433,0,0.0,1.0
oracle_best_candidate,4,2,3,C_TO_W,120,120,1.0,0.0
oracle_best_candidate,4,2,3,C_TO_C,8908,4316,0.48450830578804016,0.5154916644096375
oracle_best_candidate,4,3,4,W_TO_W,266,59,0.22180451452732086,0.7781955003738403
oracle_best_candidate,4,3,4,W_TO_C,273,0,0.0,1.0
oracle_best_candidate,4,3,4,C_TO_W,75,75,1.0,0.0
oracle_best_candidate,4,3,4,C_TO_C,9386,4018,0.4280843734741211,0.5719156265258789
oracle_best_candidate,4,4,5,W_TO_W,149,35,0.23489932715892792,0.7651006579399109
oracle_best_candidate,4,4,5,W_TO_C,117,0,0.0,1.0
oracle_best_candidate,4,4,5,C_TO_W,36,36,1.0,0.0
oracle_best_candidate,4,4,5,C_TO_C,9698,4660,0.48051145672798157,0.5194885730743408
oracle_best_candidate,4,5,6,W_TO_W,109,30,0.2752293646335602,0.7247706651687622
oracle_best_candidate,4,5,6,W_TO_C,40,0,0.0,1.0
oracle_best_candidate,4,5,6,C_TO_W,32,32,1.0,0.0
oracle_best_candidate,4,5,6,C_TO_C,9819,6273,0.6388634443283081,0.3611365854740143
oracle_best_candidate,4,6,7,W_TO_W,74,24,0.3243243098258972,0.6756756901741028
oracle_best_candidate,4,6,7,W_TO_C,35,0,0.0,1.0
oracle_best_candidate,4,6,7,C_TO_W,41,41,1.0,0.0
oracle_best_candidate,4,6,7,C_TO_C,9850,6854,0.6958375573158264,0.3041624426841736
oracle_best_candidate,4,7,8,W_TO_W,63,35,0.5555555820465088,0.4444444477558136
oracle_best_candidate,4,7,8,W_TO_C,11,0,0.0,1.0
oracle_best_candidate,4,7,8,C_TO_W,59,59,1.0,0.0
oracle_best_candidate,4,7,8,C_TO_C,9867,7664,0.7767305374145508,0.2232694774866104
oracle_best_candidate,5,1,2,W_TO_W,1137,142,0.12489005923271179,0.8751099109649658
oracle_best_candidate,5,1,2,W_TO_C,1715,0,0.0,1.0
oracle_best_candidate,5,1,2,C_TO_W,93,93,1.0,0.0
oracle_best_candidate,5,1,2,C_TO_C,7055,1483,0.21020552515983582,0.7897944450378418
oracle_best_candidate,5,2,3,W_TO_W,664,129,0.1942771077156067,0.8057228922843933
oracle_best_candidate,5,2,3,W_TO_C,473,0,0.0,1.0
oracle_best_candidate,5,2,3,C_TO_W,121,121,1.0,0.0
oracle_best_candidate,5,2,3,C_TO_C,8742,3820,0.43697094917297363,0.5630290508270264
oracle_best_candidate,5,3,4,W_TO_W,277,57,0.2057761698961258,0.7942238450050354
oracle_best_candidate,5,3,4,W_TO_C,387,0,0.0,1.0
oracle_best_candidate,5,3,4,C_TO_W,60,60,1.0,0.0
oracle_best_candidate,5,3,4,C_TO_C,9276,3492,0.3764553666114807,0.6235446333885193
oracle_best_candidate,5,4,5,W_TO_W,156,29,0.18589743971824646,0.8141025900840759
oracle_best_candidate,5,4,5,W_TO_C,121,0,0.0,1.0
oracle_best_candidate,5,4,5,C_TO_W,35,35,1.0,0.0
oracle_best_candidate,5,4,5,C_TO_C,9688,4489,0.46335673332214355,0.5366432666778564
oracle_best_candidate,5,5,6,W_TO_W,120,36,0.30000001192092896,0.699999988079071
oracle_best_candidate,5,5,6,W_TO_C,36,0,0.0,1.0
oracle_best_candidate,5,5,6,C_TO_W,42,42,1.0,0.0
oracle_best_candidate,5,5,6,C_TO_C,9802,6299,0.6426239609718323,0.3573760390281677
oracle_best_candidate,5,6,7,W_TO_W,84,22,0.261904776096344,0.738095223903656
oracle_best_candidate,5,6,7,W_TO_C,36,0,0.0,1.0
oracle_best_candidate,5,6,7,C_TO_W,44,44,1.0,0.0
oracle_best_candidate,5,6,7,C_TO_C,9836,6764,0.6876779198646545,0.31232208013534546
oracle_best_candidate,5,7,8,W_TO_W,62,29,0.4677419364452362,0.5322580933570862
oracle_best_candidate,5,7,8,W_TO_C,22,0,0.0,1.0
oracle_best_candidate,5,7,8,C_TO_W,40,40,1.0,0.0
oracle_best_candidate,5,7,8,C_TO_C,9876,7731,0.7828068137168884,0.21719320118427277
