method,seed,from_t,to_t,correct_to_wrong_count,wrong_to_correct_count,previous_correct_support,previous_wrong_support,conditional_regression_rate,conditional_recovery_rate
raw_final_ce,3,1,2,101,1050,8252,1748,1.2239457101308773,60.068649885583525
raw_final_ce,3,2,3,74,331,9201,799,0.8042604064775568,41.42678347934919
raw_final_ce,3,3,4,17,297,9458,542,0.17974201733981815,54.7970479704797
raw_final_ce,3,4,5,11,107,9738,262,0.11295953994660095,40.83969465648855
raw_final_ce,3,5,6,23,45,9834,166,0.2338824486475493,27.10843373493976
raw_final_ce,3,6,7,11,34,9856,144,0.11160714285714286,23.61111111111111
raw_final_ce,3,7,8,14,24,9879,121,0.14171474845632148,19.834710743801654
raw_final_ce,4,1,2,76,1501,7527,2473,1.009698419024844,60.695511524464216
raw_final_ce,4,2,3,60,449,8952,1048,0.6702412868632708,42.843511450381676
raw_final_ce,4,3,4,15,333,9341,659,0.16058237876030404,50.531107738998486
raw_final_ce,4,4,5,1,157,9659,341,0.01035303861683404,46.04105571847507
raw_final_ce,4,5,6,8,52,9815,185,0.0815078960774325,28.10810810810811
raw_final_ce,4,6,7,17,43,9859,141,0.17243128106298813,30.49645390070922
raw_final_ce,4,7,8,25,18,9885,115,0.25290844714213456,15.652173913043478
raw_final_ce,5,1,2,93,1715,7148,2852,1.3010632344711808,60.133239831697054
raw_final_ce,5,2,3,60,505,8770,1230,0.6841505131128849,41.05691056910569
raw_final_ce,5,3,4,12,460,9215,785,0.13022246337493218,58.59872611464968
raw_final_ce,5,4,5,3,149,9663,337,0.03104625892579944,44.21364985163205
raw_final_ce,5,5,6,16,45,9809,191,0.16311550616780507,23.56020942408377
raw_final_ce,5,6,7,12,46,9838,162,0.12197601138442773,28.395061728395063
raw_final_ce,5,7,8,7,33,9872,128,0.07090761750405186,25.78125
oracle_block_destructive,3,1,2,0,1050,8252,1748,0.0,60.068649885583525
oracle_block_destructive,3,2,3,0,296,9302,698,0.0,42.40687679083094
oracle_block_destructive,3,3,4,0,214,9598,402,0.0,53.233830845771145
oracle_block_destructive,3,4,5,0,75,9812,188,0.0,39.8936170212766
oracle_block_destructive,3,5,6,0,24,9887,113,0.0,21.238938053097346
oracle_block_destructive,3,6,7,0,21,9911,89,0.0,23.59550561797753
oracle_block_destructive,3,7,8,0,10,9932,68,0.0,14.705882352941176
oracle_block_destructive,4,1,2,0,1501,7527,2473,0.0,60.695511524464216
oracle_block_destructive,4,2,3,0,433,9028,972,0.0,44.547325102880656
oracle_block_destructive,4,3,4,0,273,9461,539,0.0,50.64935064935065
oracle_block_destructive,4,4,5,0,117,9734,266,0.0,43.984962406015036
oracle_block_destructive,4,5,6,0,40,9851,149,0.0,26.845637583892618
oracle_block_destructive,4,6,7,0,35,9891,109,0.0,32.11009174311926
oracle_block_destructive,4,7,8,0,11,9926,74,0.0,14.864864864864865
oracle_block_destructive,5,1,2,0,1715,7148,2852,0.0,60.133239831697054
oracle_block_destructive,5,2,3,0,473,8863,1137,0.0,41.60070360598065
oracle_block_destructive,5,3,4,0,387,9336,664,0.0,58.28313253012048
oracle_block_destructive,5,4,5,0,121,9723,277,0.0,43.68231046931408
oracle_block_destructive,5,5,6,0,36,9844,156,0.0,23.076923076923077
oracle_block_destructive,5,6,7,0,36,9880,120,0.0,30.0
oracle_block_destructive,5,7,8,0,22,9916,84,0.0,26.19047619047619
oracle_best_candidate,3,1,2,0,1050,8252,1748,0.0,60.068649885583525
oracle_best_candidate,3,2,3,0,296,9302,698,0.0,42.40687679083094
oracle_best_candidate,3,3,4,0,214,9598,402,0.0,53.233830845771145
oracle_best_candidate,3,4,5,0,75,9812,188,0.0,39.8936170212766
oracle_best_candidate,3,5,6,0,24,9887,113,0.0,21.238938053097346
oracle_best_candidate,3,6,7,0,21,9911,89,0.0,23.59550561797753
oracle_best_candidate,3,7,8,0,10,9932,68,0.0,14.705882352941176
oracle_best_candidate,4,1,2,0,1501,7527,2473,0.0,60.695511524464216
oracle_best_candidate,4,2,3,0,433,9028,972,0.0,44.547325102880656
oracle_best_candidate,4,3,4,0,273,9461,539,0.0,50.64935064935065
oracle_best_candidate,4,4,5,0,117,9734,266,0.0,43.984962406015036
oracle_best_candidate,4,5,6,0,40,9851,149,0.0,26.845637583892618
oracle_best_candidate,4,6,7,0,35,9891,109,0.0,32.11009174311926
oracle_best_candidate,4,7,8,0,11,9926,74,0.0,14.864864864864865
oracle_best_candidate,5,1,2,0,1715,7148,2852,0.0,60.133239831697054
oracle_best_candidate,5,2,3,0,473,8863,1137,0.0,41.60070360598065
oracle_best_candidate,5,3,4,0,387,9336,664,0.0,58.28313253012048
oracle_best_candidate,5,4,5,0,121,9723,277,0.0,43.68231046931408
oracle_best_candidate,5,5,6,0,36,9844,156,0.0,23.076923076923077
oracle_best_candidate,5,6,7,0,36,9880,120,0.0,30.0
oracle_best_candidate,5,7,8,0,22,9916,84,0.0,26.19047619047619
