method,threshold,previous_confidence_threshold,new_confidence_threshold,regression_improvement,pooled_matched_recovery_preservation,mean_prefix_accuracy_change,final_accuracy_change,guardrail_pass,pareto_optimal
linear_gate,0.05,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.1,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.15,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.2,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.25,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.3,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.35,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.4,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.45,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.5,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.55,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.6,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.65,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.7,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.75,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
linear_gate,0.8,,,0.29426124535885667,0.0022850614110254213,-17.375836690266926,-22.40332794189453,False,True
linear_gate,0.85,,,0.2849629038093189,0.11807538549400343,-14.838333129882812,-19.4633305867513,False,True
linear_gate,0.9,,,0.25188022859386944,0.4055397727272727,-6.374168395996094,-8.86999766031901,False,True
linear_gate,0.95,,,0.19898168552063736,0.6854578600476792,-1.4325002034505208,-1.7800013224283855,False,True
mlp16_gate,0.05,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.1,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.15,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.2,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.25,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.3,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.35,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.4,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.45,,,0.29444929509387086,0.0,-17.424997965494793,-22.459996541341145,False,True
mlp16_gate,0.5,,,0.2944390921016493,0.00014281633818908883,-17.422080993652344,-22.45666249593099,False,True
mlp16_gate,0.55,,,0.29428196025004677,0.0021422450728363325,-17.381251017252605,-22.409996032714844,False,True
mlp16_gate,0.6,,,0.29383245656425394,0.007997714938588975,-17.2616704305013,-22.273333231608074,False,True
mlp16_gate,0.65,,,0.29255134334644756,0.032995286387658904,-16.748751322428387,-21.686665852864582,False,True
mlp16_gate,0.7,,,0.2895649229101234,0.07113269532923867,-15.939997355143229,-20.756663004557293,False,True
mlp16_gate,0.75,,,0.28305226222008223,0.14408110809653005,-14.291252136230469,-18.839998881022137,False,True
mlp16_gate,0.8,,,0.2759177063701214,0.2289139431996575,-12.1441650390625,-16.29333241780599,False,True
mlp16_gate,0.85,,,0.25987521072436026,0.34391459074733094,-9.049168904622396,-12.509997049967447,False,True
mlp16_gate,0.9,,,0.24316212722571118,0.4781436275901221,-5.672088623046875,-8.183329264322916,False,True
mlp16_gate,0.95,,,0.2024657006405747,0.66755768148565,-2.3708368937174478,-3.6233317057291665,False,True
always_switch,,,,-0.0,1.0,0.0,0.0,False,True
confidence_hysteresis,,0.7,0.5,0.007642919005096292,0.9819978343259339,-0.048754374186197914,-0.0033315022786458335,False,True
confidence_hysteresis,,0.7,0.6,0.06142096137741438,0.9220690596424185,-0.19625345865885416,-0.016665140787760418,True,True
confidence_hysteresis,,0.7,0.7,0.09456782303836485,0.8521774969089161,-0.40833282470703125,-0.08333333333333333,False,True
confidence_hysteresis,,0.7,0.8,0.10832934696399042,0.7715624138881234,-0.7470855712890625,-0.20333353678385416,False,True
confidence_hysteresis,,0.8,0.5,0.005588136566177188,0.9870077141697118,-0.034998575846354164,0.0,False,True
confidence_hysteresis,,0.8,0.6,0.0388332293621626,0.9396164830681355,-0.16208902994791666,-0.019999186197916668,False,True
confidence_hysteresis,,0.8,0.7,0.05690852455342962,0.8859756930219855,-0.3320871988932292,-0.06333414713541667,False,False
confidence_hysteresis,,0.8,0.8,0.07096732070492019,0.8215312970825914,-0.5937550862630209,-0.1399993896484375,False,False
confidence_hysteresis,,0.9,0.5,0.004076377885402611,0.9916114192937356,-0.021672566731770832,0.0,False,True
confidence_hysteresis,,0.9,0.6,0.022961583623584452,0.9610741896107419,-0.10292307535807292,0.00333404541015625,False,True
confidence_hysteresis,,0.9,0.7,0.033228081606521714,0.9275224367691053,-0.20583597819010416,-0.009999593098958334,False,False
confidence_hysteresis,,0.9,0.8,0.04453736720751542,0.8842693565976009,-0.36875152587890625,-0.02666473388671875,False,False
confidence_hysteresis,,0.95,0.5,0.00255060003596892,0.9947247396185581,-0.01375579833984375,0.0,False,True
confidence_hysteresis,,0.95,0.6,0.01220658548169909,0.9729107408912366,-0.075836181640625,0.0,False,True
confidence_hysteresis,,0.95,0.7,0.017314384671051414,0.9496812694968126,-0.15125274658203125,-0.013333638509114584,False,False
confidence_hysteresis,,0.95,0.8,0.025510615297775863,0.9211956521739131,-0.2520904541015625,-0.0233306884765625,False,False
